"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2021 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2018 to 2020","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2017","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","143,772,895","129,870,928","13,901,967","0.8","5.1","","143,772,895","88,115,057","8,926,463","4,797,462","6,171,506","6,468,948","6,125,527","14,909,589","8,055,034","203,309","","143,772,895","2,686,658","14,434,243","19,956,257","17,273,676","18,520,920","20,187,785","14,046,870","13,605,960","6,315,255","16,745,271","","143,772,895","3,699,603","4,701,856","13,125,329","22,660,446","26,402,548","25,101,785","17,086,786","12,982,103","18,012,439","5.6","","143,772,895","4,125,765","15,715,786","35,829,911","55,678,708","25,296,316","7,126,409","","129,870,928","84,649,084","45,221,844","2.63","2.27","","129,870,928","23,304,019","29,447,272","31,773,232","20,894,778","12,194,902","12,256,725","","129,870,928","10,740,582","43,102,329","47,920,891","28,107,126","","129,870,928","60,016,650","6,515,210","53,675,015","5,072,143","91,245","1,770,600","423,648","658,772","1,647,645","","129,870,928","533,794","1,053,449","1,211,531","","129,870,928","125,390,588","2,873,710","1,606,630","","84,649,084","4,661,689","5,614,968","6,170,241","7,918,013","15,263,441","22,066,864","17,398,433","5,555,435","320,900","","84,649,084","51,394,498","33,254,586","","51,394,498","524,004","6,344,091","12,310,997","11,198,800","7,692,780","4,859,660","8,464,166","1,775","33,254,586","2,725,645","5,850,935","8,677,995","6,137,395","3,742,490","6,120,126","585","","51,125,716","24,170,269","7,582,641","5,087,322","3,371,934","10,913,550","268,782","32,744,607","14,738,776","6,231,330","3,495,411","2,126,199","1,346,926","903,835","3,902,130","509,979","","42,971,061","3,023,025","10,578,304","12,508,240","8,562,378","4,195,283","1,825,305","2,278,526","1,300","2,250,783","","42,007,061","5,224,178","4,992,065","5,213,853","4,779,585","3,873,079","17,924,301","3,214,783"
"    Margin of Error","","±7,466","±136,261","±141,204","±0.1","±0.1","","±7,466","±145,668","±51,953","±40,413","±51,920","±53,715","±57,700","±72,042","±55,185","±8,230","","±7,466","±31,551","±58,185","±77,335","±65,170","±68,593","±69,550","±58,410","±60,050","±45,480","±66,238","","±7,466","±45,018","±39,868","±69,338","±85,204","±103,097","±84,903","±78,226","±67,804","±91,799","±0.1","","±7,466","±45,806","±74,910","±98,017","±87,886","±83,470","±47,663","","±136,261","±252,966","±159,146","±0.01","±0.01","","±136,261","±83,910","±82,905","±78,345","±76,101","±62,046","±61,707","","±136,261","±53,663","±101,646","±115,547","±80,617","","±136,261","±123,383","±56,022","±114,876","±33,879","±4,932","±18,007","±11,559","±14,819","±22,121","","±136,261","±13,435","±18,064","±21,895","","±136,261","±154,395","±36,944","±26,680","","±252,966","±44,591","±46,642","±46,600","±51,266","±81,531","±87,559","±63,215","±33,246","±622","","±252,966","±156,515","±127,969","","±156,515","±12,280","±47,566","±58,936","±66,931","±50,511","±37,289","±46,087","±3","±127,969","±30,201","±43,428","±49,764","±40,308","±34,487","±35,757","±1","","±156,187","±112,433","±54,463","±42,004","±36,997","±57,046","±10,413","±126,217","±82,733","±46,486","±32,078","±20,690","±18,202","±15,224","±34,040","±12,564","","±162,515","±36,227","±60,542","±85,328","±65,794","±45,660","±27,620","±22,413","±3","±25,810","","±160,112","±53,916","±49,624","±39,656","±48,194","±46,994","±91,427","±28,845"
"    Percent","","143,772,895","90.3%","9.7%","(X)","(X)","","143,772,895","61.3%","6.2%","3.3%","4.3%","4.5%","4.3%","10.4%","5.6%","0.1%","","143,772,895","1.9%","10.0%","13.9%","12.0%","12.9%","14.0%","9.8%","9.5%","4.4%","11.6%","","143,772,895","2.6%","3.3%","9.1%","15.8%","18.4%","17.5%","11.9%","9.0%","12.5%","(X)","","143,772,895","2.9%","10.9%","24.9%","38.7%","17.6%","5.0%","","129,870,928","65.2%","34.8%","(X)","(X)","","129,870,928","17.9%","22.7%","24.5%","16.1%","9.4%","9.4%","","129,870,928","8.3%","33.2%","36.9%","21.6%","","129,870,928","46.2%","5.0%","41.3%","3.9%","0.1%","1.4%","0.3%","0.5%","1.3%","","129,870,928","0.4%","0.8%","0.9%","","129,870,928","96.6%","2.2%","1.2%","","84,649,084","5.5%","6.6%","7.3%","9.4%","18.0%","26.1%","20.6%","6.6%","(X)","","84,649,084","60.7%","39.3%","","51,394,498","1.0%","12.3%","24.0%","21.8%","15.0%","9.5%","16.5%","(X)","33,254,586","8.2%","17.6%","26.1%","18.5%","11.3%","18.4%","(X)","","51,125,716","47.3%","14.8%","10.0%","6.6%","21.3%","(X)","32,744,607","45.0%","19.0%","10.7%","6.5%","4.1%","2.8%","11.9%","(X)","","42,971,061","7.0%","24.6%","29.1%","19.9%","9.8%","4.2%","5.3%","(X)","(X)","","42,007,061","12.4%","11.9%","12.4%","11.4%","9.2%","42.7%","(X)"
"    Percent Margin of Error","","(X)","±0.1","±0.1","(X)","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","(X)","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.2","±0.1","±0.1","±0.1","±0.1","(X)","(X)","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","(X)","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)"
"Baltimore city, MD; Baltimore-Columbia-Towson, MD Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","293,879","254,707","39,172","2.0","3.8","","293,879","42,126","152,504","11,596","14,247","14,366","11,486","46,919","570","65","","293,879","1,604","13,059","13,141","12,406","14,911","20,920","22,797","42,464","29,006","123,571","","293,879","10,915","9,147","33,072","44,379","37,974","81,337","34,858","17,280","24,917","5.6","","293,879","12,392","51,585","80,625","112,035","26,828","10,414","","254,707","121,217","133,490","2.32","2.03","","254,707","50,739","64,837","59,182","34,435","18,171","27,343","","254,707","65,694","112,482","61,692","14,839","","254,707","160,203","5,041","78,553","7,388","0","383","0","822","2,317","","254,707","807","1,478","4,463","","254,707","248,493","3,882","2,332","","121,217","7,899","9,902","18,998","20,158","31,023","23,941","8,158","1,138","210,300","","121,217","77,968","43,249","","77,968","252","10,135","23,906","20,091","11,457","5,704","6,423","1,608","43,249","2,382","5,308","13,353","10,835","4,567","6,804","611","","76,661","34,893","8,628","7,500","4,585","21,055","1,307","41,996","14,704","8,967","4,718","2,258","1,907","1,097","8,345","1,253","","129,083","17,627","22,272","49,130","27,422","7,748","2,893","1,991","1,235","4,407","","122,469","15,175","10,824","15,540","13,949","10,194","56,787","11,021"
"    Margin of Error","","±181","±3,507","±3,502","±0.8","±1.0","","±181","±2,928","±5,063","±2,113","±2,838","±2,329","±2,266","±3,835","±451","±108","","±181","±743","±2,068","±2,265","±2,305","±2,519","±2,623","±2,661","±3,681","±2,692","±5,039","","±181","±2,648","±1,877","±3,181","±3,929","±3,540","±4,583","±3,199","±2,296","±2,792","±0.2","","±181","±2,796","±3,781","±4,545","±4,896","±3,046","±1,742","","±3,507","±4,664","±5,060","±0.06","±0.06","","±3,507","±3,454","±4,211","±4,265","±3,161","±2,151","±2,435","","±3,507","±4,162","±5,741","±4,129","±2,116","","±3,507","±5,064","±1,277","±4,322","±1,593","±224","±399","±224","±518","±836","","±3,507","±530","±727","±1,431","","±3,507","±4,178","±1,290","±1,140","","±4,664","±1,588","±1,706","±2,484","±2,862","±2,923","±2,470","±1,239","±479","±8,236","","±4,664","±4,762","±3,782","","±4,762","±179","±1,793","±3,310","±2,472","±1,727","±1,426","±1,385","±52","±3,782","±951","±1,346","±1,921","±2,020","±952","±1,502","±31","","±4,666","±3,160","±1,556","±1,470","±1,202","±2,741","±641","±3,871","±1,566","±2,091","±1,236","±817","±880","±493","±1,682","±630","","±5,165","±2,340","±3,062","±4,323","±3,440","±1,849","±912","±729","±32","±1,328","","±5,376","±2,321","±2,316","±2,384","±2,935","±2,080","±4,988","±2,226"
"    Percent","","293,879","86.7%","13.3%","(X)","(X)","","293,879","14.3%","51.9%","3.9%","4.8%","4.9%","3.9%","16.0%","0.2%","0.0%","","293,879","0.5%","4.4%","4.5%","4.2%","5.1%","7.1%","7.8%","14.4%","9.9%","42.0%","","293,879","3.7%","3.1%","11.3%","15.1%","12.9%","27.7%","11.9%","5.9%","8.5%","(X)","","293,879","4.2%","17.6%","27.4%","38.1%","9.1%","3.5%","","254,707","47.6%","52.4%","(X)","(X)","","254,707","19.9%","25.5%","23.2%","13.5%","7.1%","10.7%","","254,707","25.8%","44.2%","24.2%","5.8%","","254,707","62.9%","2.0%","30.8%","2.9%","0.0%","0.2%","0.0%","0.3%","0.9%","","254,707","0.3%","0.6%","1.8%","","254,707","97.6%","1.5%","0.9%","","121,217","6.5%","8.2%","15.7%","16.6%","25.6%","19.8%","6.7%","0.9%","(X)","","121,217","64.3%","35.7%","","77,968","0.3%","13.0%","30.7%","25.8%","14.7%","7.3%","8.2%","(X)","43,249","5.5%","12.3%","30.9%","25.1%","10.6%","15.7%","(X)","","76,661","45.5%","11.3%","9.8%","6.0%","27.5%","(X)","41,996","35.0%","21.4%","11.2%","5.4%","4.5%","2.6%","19.9%","(X)","","129,083","13.7%","17.3%","38.1%","21.2%","6.0%","2.2%","1.5%","(X)","(X)","","122,469","12.4%","8.8%","12.7%","11.4%","8.3%","46.4%","(X)"
"    Percent Margin of Error","","(X)","±1.2","±1.2","(X)","(X)","","(X)","±1.0","±1.7","±0.7","±1.0","±0.8","±0.8","±1.3","±0.2","±0.1","","(X)","±0.3","±0.7","±0.8","±0.8","±0.9","±0.9","±0.9","±1.3","±0.9","±1.7","","(X)","±0.9","±0.6","±1.1","±1.3","±1.2","±1.6","±1.1","±0.8","±0.9","(X)","","(X)","±1.0","±1.3","±1.5","±1.7","±1.0","±0.6","","(X)","±1.8","±1.8","(X)","(X)","","(X)","±1.3","±1.6","±1.6","±1.3","±0.8","±0.9","","(X)","±1.6","±2.1","±1.6","±0.8","","(X)","±1.8","±0.5","±1.6","±0.6","±0.1","±0.2","±0.1","±0.2","±0.3","","(X)","±0.2","±0.3","±0.6","","(X)","±0.6","±0.5","±0.4","","(X)","±1.3","±1.4","±1.9","±2.1","±2.3","±1.9","±1.1","±0.4","(X)","","(X)","±2.9","±2.9","","(X)","±0.2","±2.3","±3.6","±2.7","±2.1","±1.8","±1.7","(X)","(X)","±2.2","±3.0","±3.2","±3.6","±2.2","±3.4","(X)","","(X)","±3.0","±1.9","±1.8","±1.6","±3.0","(X)","(X)","±3.7","±4.0","±2.8","±1.9","±2.0","±1.1","±3.6","(X)","","(X)","±1.9","±2.4","±2.7","±2.4","±1.4","±0.7","±0.6","(X)","(X)","","(X)","±1.9","±1.9","±1.9","±2.3","±1.7","±3.4","(X)"
